,Epitope 1,Epitope 2,Epitope 3,Epitope 4,Epitope 5,Epitope 6,Epitope 7,Epitope 8,Epitope 9,Epitope 10,Epitope 11,Epitope 12,Epitope 13,Epitope 14
8CMH_AB,179.25005474390986,64.54495740634151,27.970607348145375,4.064269005696012,13.157766759751185,91.82529313,139.75327280371187,119.01439141414885,90.71418077879045,93.56963445119048,90.68768932360756,69.74999042107129,82.71080454599041,102.21134410871626
8CMB_AB,179.28945222538115,64.62040028896297,28.05400165955549,3.951383830512942,13.284038370032487,91.84682997959226,139.79517006378427,119.05852825656858,90.81575834810096,93.66784717,90.76906973176881,69.84664751344529,82.78797937395684,102.30741531317207
8CMD_DE,91.23047509883615,57.14759179318274,73.46043081690115,95.88537166130996,92.80856324187658,5.784376493406458,50.62390961623038,30.677546226179082,85.94298810851863,65.18126534355012,63.766878339176436,62.04348774487162,44.62072459353461,60.2436236
8CMI_GH,91.60690515179184,57.37956535744522,73.41607213554964,95.78120481856877,92.77019022100276,5.740611369923209,50.9736187,30.786837208086396,85.70082063083875,65.07546328504235,63.49434146896321,61.91292209868878,44.53282000193087,60.367616529112496
8CMI_DE,90.86560541776103,57.47871777515729,73.88746695485926,96.34846675280086,93.25372226878602,6.084387916,50.23782336391555,30.239002785941736,85.99478570416609,65.17020721602333,63.76692834,62.21564926780009,44.69092911,60.18594581334621
8CMD_GH,91.35899252134335,57.07051178,73.33768625905007,95.74517653642489,92.67942325644657,5.710326441390792,50.76112243186166,30.82543823883119,85.93229839076342,65.19823116346714,63.77032998354016,62.001855072989024,44.61395195760664,60.28596363146494
8CMD_AB,90.77496629402951,57.41232566,73.89068360954846,96.36641267789484,93.25494147637033,6.0966025714612355,50.15442805004141,30.22022367192111,86.05653447238623,65.19798825,63.837778446534024,62.24617610246791,44.71272615536803,60.15490799251627
8CMI_AB,92.48035589408066,57.067443710885335,72.72362892001108,94.96627312396089,92.04546350574533,5.383082115577519,51.87835464073181,31.64079637126066,85.52478837171628,65.11428358100196,63.383928669880845,61.62110362026992,44.453886131496304,60.65006824289081
8CMC_AB,145.2846227297279,34.38288717888246,13.650540761081967,34.46616906798939,28.68019260089274,60.21349642603652,106.17405338681887,87.14948512071217,79.05877405889204,71.78110555585016,71.72300098674224,49.935927919795574,55.92848412434964,74.90160185
7KQB_HL,183.39701151426542,69.88947067219802,34.3000203,6.420205622457402,19.775600292017884,95.72638907461521,144.2191275192591,123.83718585246078,97.63918627548207,100.48170156889394,97.12799638,76.64066987912332,88.92897003912658,108.83746618540104
7ZJL_ij,177.1086775769349,58.42354589432325,25.710153366326125,22.891133253081218,9.89848316,93.83449010816098,137.89944993852933,117.57538182855609,81.88604282703476,84.97159817732101,85.12198804005811,62.06342916537049,77.49609950404187,93.18512056987944
7PBE_DE,114.14380573902419,38.62067018851136,51.811716403981194,79.39170948092998,71.31698102402319,38.77835020271109,72.47093258038322,48.06475959851681,46.65974366749646,25.249903595844373,30.12286222275082,20.022143811663078,4.542978489460125,29.90149951104652
7ZJL_kl,177.02734687002248,58.297333548739466,25.675152560280264,22.613492987794388,9.418464433,93.82118538572877,137.8791298909032,117.65882306279477,82.48597423071257,85.37856243257049,85.57876183824257,62.46065696037692,77.75164096757958,93.41772000810359
7N1F_DE,113.00289027465152,39.454907142806285,53.16713288313006,80.72142768,72.70240998377062,38.22573592720247,71.30768508349574,46.79389156218444,46.97701861179421,24.968905880095658,29.956858343090264,21.080311685716666,3.5534852737959137,29.221337487443396
7JX3_HL,147.7961235957273,35.438272280154536,6.687281184773155,34.608597626658714,26.834962831480304,61.80824242711899,107.54418001206938,86.41036741781227,67.52716536,62.95036542727592,62.410973384713195,39.93281100911868,49.72708044,69.39590196320539
7RTR_DE,113.5822483690306,39.236784532598726,52.67514515,80.2358167,72.18059496272876,38.654151230158234,71.90484814578484,47.421670624709385,46.62542075160611,24.846609672253972,29.829387537242113,20.488615465805996,3.7789466142728845,29.409036106336167
7SKZ_HL,72.95905080825392,70.08528780535185,92.88142322256246,118.62297993322588,113.00194250917018,31.603568959628912,31.019964429969832,1.6088063612994907,84.1749986,59.126105803884045,61.61747399163466,67.24682079112453,46.17158646008226,49.72725221
7KQB_KJ,183.34076418463692,70.07523393927526,34.48536711332655,6.506113893599753,20.284293260457144,95.55301938149317,144.15484232052992,123.75369620797635,97.83059831498518,100.65252863362751,97.19703328,76.80808872424915,88.99877600038232,109.02868568480662
7PBE_IJ,114.13927400210514,38.371892421691136,51.57750785721308,79.16491939505379,71.1016739,38.589982019349655,72.45844619850581,48.081010655259014,46.89299783535148,25.566568980591203,30.373997146338994,20.10051530252432,4.832383165202505,30.091687927295062
7LCN_BD,150.36793955992772,78.48059449889467,73.40953866923746,93.20934134094733,86.98442219,79.98507896019241,110.06482698646448,83.03198685126345,5.487316973884232,30.940860049891484,21.51710185,34.38424843004413,45.08409120100933,57.43167003917328
7LCN_HL,149.71057703753058,76.14893244687447,70.83695540310906,90.77892110729884,84.48202770798132,78.36598362994674,109.21135202275505,82.16888698391408,4.884349330899419,29.881112810887245,20.52917336104131,31.991416404837715,43.33119568020169,56.34134178097644
